"instance" "vertices" "strategy" "iterations" "guards" "preProcTime(s)" "procTime(s)" "totalTime(s)"
"randsimple-60-16" 60 "Shadow AVPs" 1 9 0.77 0.03 0.8
"randsimple-60-24" 60 "Shadow AVPs" 1 9 0.87 0.03 0.9
"randsimple-60-9" 60 "Shadow AVPs" 1 9 0.66 0.02 0.68
"randsimple-60-12" 60 "Shadow AVPs" 1 9 0.67 0.02 0.7
"randsimple-60-1" 60 "Shadow AVPs" 1 9 0.7 0.02 0.72
"randsimple-60-4" 60 "Shadow AVPs" 1 8 0.8 0.02 0.82
"randsimple-60-14" 60 "Shadow AVPs" 1 8 0.7 0.02 0.72
"randsimple-60-3" 60 "Shadow AVPs" 1 9 0.87 0.03 0.9
"randsimple-60-21" 60 "Shadow AVPs" 1 8 0.72 0.02 0.74
"randsimple-60-22" 60 "Shadow AVPs" 1 9 0.88 0.03 0.92
"randsimple-60-10" 60 "Shadow AVPs" 1 10 0.86 0.03 0.89
"randsimple-60-13" 60 "Shadow AVPs" 1 10 0.81 0.03 0.84
"randsimple-60-10" 60 "Single Vertex" 7 10 0.42 0.14 0.57
"randsimple-60-1" 60 "Single Vertex" 9 9 0.44 0.12 0.56
"randsimple-60-8" 60 "Single Vertex" 13 11 0.42 0.27 0.7
"randsimple-60-4" 60 "Single Vertex" 13 8 0.43 0.21 0.64
"randsimple-60-2" 60 "Single Vertex" 8 7 0.43 0.1 0.53
"randsimple-60-6" 60 "Single Vertex" 8 9 0.44 0.16 0.6
"randsimple-60-20" 60 "Single Vertex" 7 8 0.44 0.12 0.56
"randsimple-60-14" 60 "Single Vertex" 8 8 0.43 0.12 0.55
"randsimple-60-30" 60 "Single Vertex" 7 8 0.45 0.18 0.63
"randsimple-60-24" 60 "Single Vertex" 7 9 0.44 0.13 0.57
"randsimple-60-22" 60 "Single Vertex" 8 9 0.44 0.16 0.6
"randsimple-60-16" 60 "Single Vertex" 12 9 0.44 0.17 0.61
"randsimple-60-15" 60 "Single Vertex" 9 9 0.43 0.12 0.55
"randsimple-60-7" 60 "Single Vertex" 9 10 0.42 0.16 0.58
"randsimple-60-3" 60 "Single Vertex" 8 9 0.44 0.16 0.59
"randsimple-60-23" 60 "Single Vertex" 10 7 0.43 0.2 0.63
"randsimple-60-12" 60 "Single Vertex" 7 9 0.44 0.11 0.55
"randsimple-60-11" 60 "Single Vertex" 10 9 0.44 0.15 0.59
"randsimple-60-13" 60 "Single Vertex" 7 10 0.44 0.16 0.6
"randsimple-60-27" 60 "Single Vertex" 10 10 0.43 0.16 0.59
"randsimple-60-9" 60 "Single Vertex" 10 9 0.43 0.19 0.62
"randsimple-60-28" 60 "Single Vertex" 9 10 0.44 0.18 0.62
"randsimple-60-18" 60 "Single Vertex" 14 10 0.43 0.28 0.7
"randsimple-60-29" 60 "Single Vertex" 8 9 0.44 0.16 0.59
"randsimple-60-21" 60 "Single Vertex" 9 8 0.44 0.12 0.55
"randsimple-60-19" 60 "Single Vertex" 13 9 0.43 0.24 0.67
"randsimple-60-26" 60 "Single Vertex" 11 10 0.43 0.2 0.63
